DATE,Volunteers ,# of Volunteers ,Arrival time,Weather,Surf,# of Honu at arrival,Time of first Honu ,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,PAU,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,People Tally,Harassment?,Honu up at other opening?,Number of people less than 15 feet away
7/10/15,"Ian, Kona, alisha",3,2:15,sunny,2-5',9,2:31,9,17,20,14,14,13,12,12,12,13,13,13,12,13,37,37,23,27,21,23,46,38,29,39,35,32,50,64,29,26,4,222,0,,4
7/11/15,Ian,1,2:30,sunny,2-5',6,2:45,6,8,8,10,10,14,14,13,13,13,13,13,16,23,37,37,14,26,27,32,32,34,39,40,32,33,22,33,21,21,0,220,0,,0
7/12/15,Ian,1,2:15,sunny,2-5',1,2:59,0,1,3,4,3,8,8,9,9,10,9,9,9,30,40,40,35,38,45,40,31,21,26,25,10,16,31,30,28,33,0,191,0,yes,a lot
7/13/15,"Ian, Kona, Kinoa",3,2:15,sunny,2-5',10,1:24,10,17,12,14,12,10,10,10,10,9,8,8,10,12,27,27,21,25,22,36,20,32,38,30,24,37,39,57,62,42,0,n/a,0,,4
7/14/15,Magda,1,1:30,sunny,2-5',2,3:47,1,0,0,0,2,5,8,8,10,9,9,9,14,22,29,29,16,13,22,25,30,45,47,30,44,25,26,27,9,0,1,333,0,,n/a
7/15/15,"Magda, Ekona",2,2:30,sunny,2-5',6,2:45,6,6,10,9,8,8,13,13,13,13,13,13,13,20,31,31,30,31,24,26,10,6,18,14,14,23,28,13,20,16,7,290,0,,5
7/16/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,"Ian, Kona, Micah",3,2:30,sunny,2-5',2,2:38,2,4,5,5,5,5,7,9,9,10,10,10,10,14,30,30,30,44,24,35,28,29,22,21,39,28,17,30,23,31,30,350,0,,20
7/19/15,Magda,1,2:30,sunny,2-5',7,3:08,7,7,7,8,9,9,9,8,8,8,8,8,8,24,33,33,22,28,22,18,19,19,18,34,36,44,40,30,31,35,,n/a,0,,10
7/20/15,"Magda, kainoa",2,2:30,sunny,0-1',10,1:50,10,10,7,7,6,6,7,8,8,8,8,8,10,14,23,23,13,18,24,24,30,23,21,31,43,41,39,30,29,17,6,340,0,,2
7/21/15,"Magda,Kainoa, aandall",3,2:30,sunny,2-5',13,2:39,13,13,16,18,19,18,18,21,20,17,20,20,24,32,40,40,19,17,18,36,31,33,46,39,45,34,38,28,26,20,7,219,0,,5
7/22/15,Kainoa,1,n/a,sunny,0-1',n/a,3:25,7,7,9,10,12,10,10,10,11,10,11,9,13,19,35,35,10,12,9,14,21,33,15,17,24,14,42,45,40,39,13,199,0,,15
7/23/15,"Kainoa, Alisha, Magdalena, Barbara",4,2:00,sunny,2-5',n/a,2:00,5,8,9,11,10,10,10,11,11,11,10,10,10,19,30,30,27,32,29,34,17,45,17,13,12,12,10,16,16,16,3,211,0,,n/a
7/24/15,Ian,1,2:15,sunny,2-5',1,2:46,1,4,5,8,10,12,13,13,14,14,14,13,14,14,22,22,16,23,13,23,52,36,28,48,36,43,46,36,26,20,0,337,0,,0
7/25/15,"Ian, Steven ",2,2:15,sunny,2-5',3,3:05,3,1,1,1,1,3,3,3,3,3,3,3,5,12,16,16,26,31,35,16,13,18,40,27,22,36,37,33,39,26,0,270,0,,a lot
7/26/15,Ian,1,2:30,sunny,0-1',0,3:40,0,0,0,3,3,3,5,4,4,4,4,5,9,17,20,20,38,32,38,32,27,42,34,28,23,53,37,67,70,30,3,287,0,,n/a
7/27/15,"Ian, Micah, CK, Lena, Colleen",5,1:15,cloudy,0-1',0,n/a,0,1,1,1,0,2,4,4,5,4,4,3,5,10,21,21,48,34,58,30,46,57,50,50,48,51,66,53,38,28,4,391,0,,0
7/28/15,Magda,1,2:30,sunny,0-1',0,3:56,0,0,1,1,2,3,4,4,4,3,3,3,2,9,23,23,17,27,34,21,n/a,31,23,29,33,24,33,42,23,25,7,260,0,,0
7/29/15,"Anthony, randall",2,2:30,sunny,0-1',0,4:15,0,0,0,0,1,2,4,6,6,6,6,6,6,8,12,12,n/a,n/a,n/a,n/a,12,6,23,34,49,47,52,61,48,34,12,190,0,,0
7/30/15,"Alisha, Jane, Magdalena, Barbara",4,2:00,sunny,0-1',n/a,3:01,0,0,2,1,3,4,4,6,7,5,5,4,4,6,22,22,5,11,11,25,28,18,20,23,25,20,16,27,24,2,,192,0,,0
7/31/15,"Ian, Colleen",2,2:15,sunny,0-1',1,2:41,1,1,2,2,2,2,4,4,5,5,5,6,7,21,29,29,14,18,8,15,13,39,49,50,45,65,97,90,53,39,10,273,0,,5
8/1/15,"Ian, Colleen, Steven",3,2:15,"sunny, rainy",2-5',6,2:33,6,8,9,8,8,8,9,11,11,12,17,22,38,51,51,51,22,23,34,10,4,14,28,41,39,31,27,25,21,0,0,303,0,,4
8/2/15,Anthony,1,2:30,Partly Cloudy ,6-10',3,2:50,3,6,7,9,10,9,10,13,13,13,13,23,27,35,,35,4,12,4,15,12,8,15,17,23,27,17,11,16,10,,160,0,,4
