#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 02 14 39 999 99.0 99.0  1.85 11.76  7.01 356 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 15 09 999 99.0 99.0  1.97 10.53  7.51   5 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 15 39 999 99.0 99.0  1.96 11.76  7.52  17 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 16 09 999 99.0 99.0  1.99 11.11  7.62   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 16 39 999 99.0 99.0  2.03 11.11  7.68  12 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 17 09 999 99.0 99.0  2.09 11.11  7.45   5 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 17 39 999 99.0 99.0  1.98 10.53  7.46   6 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 18 09 999 99.0 99.0  1.99 10.53  7.60  20 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 18 39 999 99.0 99.0  2.06 11.11  7.43  24 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 19 09 999 99.0 99.0  1.99 11.11  7.12   9 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 19 39 999 99.0 99.0  1.81 11.11  7.09  12 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 20 09 999 99.0 99.0  1.76 10.53  7.00   6 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 20 39 999 99.0 99.0  1.87 11.11  7.19   6 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 21 09 999 99.0 99.0  1.84 11.11  7.22  13 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 21 39 999 99.0 99.0  1.92 11.11  7.61  16 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 22 09 999 99.0 99.0  1.95 11.11  7.61  20 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 22 39 999 99.0 99.0  1.71 11.11  7.23  22 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 02 23 09 999 99.0 99.0  1.78 10.53  7.32  17 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 02 23 39 999 99.0 99.0  1.66  9.88  6.92  17 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 00 09 999 99.0 99.0  1.90 11.11  7.68  12 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 00 39 999 99.0 99.0  1.82 10.53  7.69  12 9999.0 999.0  24.8 999.0 99.0 99.00
